Insumo;Fecha;Consumo
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-09-01;-122.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-10-01;495.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-11-01;-166.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-12-01;-41.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-01-01;-82.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-02-01;45.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-03-01;-24.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-04-01;-155.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-05-01;-59.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-06-01;37.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-07-01;-19.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-08-01;-34.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-09-01;-38.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-10-01;8.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-11-01;0.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2023-12-01;7.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2024-01-01;-14.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2024-02-01;0.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2024-03-01;7.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2024-04-01;0.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-01-01;0.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-02-01;-218.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-03-01;30.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-04-01;-62.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-05-01;256.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-06-01;-24.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-07-01;713.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-08-01;-183.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-09-01;-508.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-10-01;762.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-11-01;-306.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2022-12-01;206.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-01-01;-361.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-02-01;161.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-03-01;-428.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-04-01;319.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-05-01;-190.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-06-01;363.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-07-01;-276.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-08-01;-28.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-09-01;-251.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-10-01;235.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-11-01;-4.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2023-12-01;-62.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2024-01-01;-319.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2024-02-01;-18.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2024-03-01;7.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA FUERTE) ;2024-04-01;-64.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-01-01;0.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-02-01;-255.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-03-01;-18.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-04-01;-54.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-05-01;70.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-06-01;-2.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-07-01;0.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-08-01;307.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-09-01;-250.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-10-01;307.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-11-01;-124.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2022-12-01;61.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-01-01;-174.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-02-01;45.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-03-01;2440.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-04-01;-2546.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-05-01;-47.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-06-01;54.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-07-01;-72.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-08-01;-18.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-09-01;-30.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-10-01;15.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-11-01;0.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2023-12-01;9.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2024-01-01;-18.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2024-02-01;-4.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2024-03-01;-1.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO.                    (SE SOLICITA SUAVE);2024-04-01;-2.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-01-01;0.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-02-01;-9326.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-03-01;-45808.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-04-01;-40162.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-05-01;33744.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-06-01;-11920.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-07-01;-4364.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-08-01;-10460.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-09-01;-6520.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-10-01;38.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-11-01;3622.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2022-12-01;46220.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-01-01;-19730.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-02-01;7866.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-03-01;0.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-04-01;-21928.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-05-01;-8024.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-06-01;-4320.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-07-01;-3188.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-08-01;-692.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-09-01;-172.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-10-01;164638.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-11-01;-21528.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2023-12-01;4514.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2024-01-01;-61254.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2024-02-01;-17618.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2024-03-01;15522.0
BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ;2024-04-01;178.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-01-01;0.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-02-01;0.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-03-01;-165.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-04-01;-495.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-05-01;420.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-06-01;0.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-07-01;0.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-08-01;-105.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-09-01;-210.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-10-01;105.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-11-01;105.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2022-12-01;105.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-01-01;-105.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-02-01;105.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-03-01;-420.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-04-01;340.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-05-01;-85.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-06-01;170.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-07-01;-85.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-08-01;0.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-09-01;-170.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-10-01;170.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-11-01;0.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2023-12-01;85.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2024-01-01;-170.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2024-02-01;0.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2024-03-01;85.0
BOLSA INFUSORA A PRESION .SE SOLICITA BOLSA DE 1000cc DE CAPACIDAD;2024-04-01;0.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-01-01;0.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-02-01;-347400.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-03-01;-2130000.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-04-01;-6067000.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-05-01;7498600.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-06-01;-103600.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-07-01;-34900.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-08-01;-1883000.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-09-01;-3673600.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-10-01;5404500.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-11-01;-1884500.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2022-12-01;1732500.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-01-01;-1852200.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-02-01;1707000.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-03-01;0.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-04-01;-526400.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-05-01;-1746900.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-06-01;2852700.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-07-01;-1602100.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-08-01;-45500.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-09-01;-2966800.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-10-01;2936860.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-11-01;4700.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2023-12-01;-15500.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2024-01-01;-1638740.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2024-02-01;-2547352.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2024-03-01;97444.0
BRAZALETE DE IDENTIFICACIÓN PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD);2024-04-01;2248032.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-01-01;0.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-02-01;-176000.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-03-01;-387300.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-04-01;-1315900.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-05-01;2225200.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-06-01;-11500.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-07-01;-28200.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-08-01;-542700.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-09-01;-1095200.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-10-01;1616800.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-11-01;-561300.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2022-12-01;507900.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-01-01;-566200.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-02-01;494800.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-03-01;0.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-04-01;-26600.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-05-01;-509000.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-06-01;968700.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-07-01;-524400.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-08-01;-10300.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-09-01;-1070200.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-10-01;846500.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-11-01;-21900.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2023-12-01;7800.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2024-01-01;-459000.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2024-02-01;-768600.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2024-03-01;-1585.0
BRAZALETE DE IDENTIFICACIÓN PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD;2024-04-01;725285.0
CANULA NASOFARINGEA  DE 20 FR A  26 FR.  (SE SOLOCITA TAMAÑ0 26FR) ;2022-01-01;0.0
CANULA NASOFARINGEA  DE 20 FR A  26 FR.  (SE SOLOCITA TAMAÑ0 26FR) ;2022-02-01;-44400.0
CANULA NASOFARINGEA  DE 20 FR A  26 FR.  (SE SOLOCITA TAMAÑ0 26FR) ;2022-03-01;-700.0
CANULA NASOFARINGEA  DE 20 FR A  26 FR.  (SE SOLOCITA TAMAÑ0 26FR) ;2022-04-01;-2100.0
