CODIGO,DESCRIPCI‡N,PRECIO UNITARIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA JULIO, CANTIDAD EXISTENCIA ALMACêN CDDI JULIO,CANTIDAD EXISTENCIA ALMACêN CDCH JULIO,TOTAL DE EXISTENCIAS  DISPONIBLES    JULIO,MONTO DE EXISTENCIAS EN B/.,,
209011226,BANDEJA PARA CATETERIZACION VENOSO CENTRAL TRIPLE LUMEN CON 2 ANTIBIOTICOS (MINOCICLINA Y RIFAMPICINA).                                                                      (SE SOLICITA CATETER DE POLIURETANO ADULTO),262.50 ,0 ,0 ,0 ,0,0.00,,
209013300,RECIPIENTE DESECHABLE PARA SISTEMA DE DRENAJE TORµCICO DIGITAL (Se solicita de 800cc de capacidad),22.72 ,"10,968 ",240 ,24 ,"11,232","255,222.04",,
209013400,TUBO PARA SISTEMA DE DRENAJE TORµCICO DIGITAL CONEXI‡N DOBLE (Se solicita longitud de 1.5 mts). DEBE SER COMPATIBLE CON EL EQUIPO EXISTENTE EN LA INSTITUCI‡N.,23.61 ,0 ,0 ,0 ,0,0.00,,
209016801,ESPONJA HEMOSTATICA DE GELATINA ABSORBIBLE.   SE SOLICITA TAMA•O 7x5x1CM ( 70MMX50MMX10MM ),3.09 ,0 ,0 ,0 ,0,0.00,,
209017402,JALEA LUBRICANTE ESTêRIL  (SE SOLICITA TUBO DE 113 GM),3.15 ,0 ,0 ,0 ,0,0.00,,
209018401,TRAJE DE PROTECCION PERSONAL (TIPO OVEROL) TAMA•O L,10.76 ,"1,365,464 ","16,320 ",0 ,"1,381,784","14,867,995.84",,
209018501,TRAJE DE PROTECCION PERSONAL (TIPO OVEROL)TAMA•O XL,10.76 ,"1,036,360 ",0 ,"3,300 ","1,039,660","11,186,741.60",,
209018800,"APLICADOR DE GRAPAS AUTOMµTICO PARA LAPAROSCOPIA (Se solicita con grapa de 10mm, 20 grapas, mediano / grande)",70.00 ,0 ,0 ,0 ,0,0.00,,
209018801,"APLICADOR DE GRAPAS AUTOMµTICO PARA LAPAROSCOPIA  (SE SOLICITA TAMA•O DE 5MM, 20 GRAPAS, MEDIANO / GRANDE)",137.50 ,0 ,0 ,0 ,0,0.00,,
209019006,"VENDA DE GASA PRESATURADAS DE CLORURO DE SODIO AL 20%   (TAMA•O 6"" (15 CM ) X 6 3/4"" (17 CM ).",5.12 ,0 ,0 ,0 ,0,0.00,,
209019200,"APLICADOR DE MADERA CON ALGOD‡N, ESTêRIL  (SE SOLICITA DE 6"")",0.02 ,"424,200 ","66,800 ","149,400 ","640,400","12,808.00",,
209019501,AP‡SITO HIDROCOLOIDE (FINO O EXTRA DELGADO)          (SE SOLICITA CUADRADO 15CM X 15CM).,2.71 ,0 ,0 ,0 ,0,0.00,,
209019502,"AP‡SITO HIDROCOLOIDE (Est†ndar, Regular o Extra Absorbente)                (SE SOICITA CUADRADO/IMPERMEABLE 20CM X 20CM).",4.98 ,0 ,0 ,0 ,0,0.00,,
209019503,AP‡SITO HIDROCOLOIDE (FINO O EXTRA DELGADO)             (SE SOLICITA CUADRADO 10CM X 10CM),1.65 ,"45,920 ","1,630 ",0 ,"47,550","78,457.50",,
209019504,"AP‡SITO HIDROCOLOIDE (Est†ndar, Regular o Extra Absorbente).  SE SOLICITA,  CUADRADO 15CM X 15CM",3.80 ,"16,315 ",710 ,0 ,"17,025","64,695.00",,
209019507,APOSITO TRANSPARENTE ESTERIL. SE SOLICITA  CON VENTANA DE 8-10CM X 10-12.5CM,0.19 ,"42,000 ","80,400 ","3,950 ","126,350","24,006.50",,
209019508,APOSITO TRANSPARENTE ESTERIL. SE SOLICITA CON VENTANA TAMA•O DE 5-6CM X 7-8CM,0.10 ,0 ,0 ,0 ,0,0.00,,
209019600,APOSITO OCULAR ADULTO ESTERIL,0.07 ,"17,675 ","25,800 ","2,350 ","45,825","3,207.75",,
209019900,INSTRUMENTO DE ENGRAPADO PARA CIERRE DE PIEL DESECHABLE ,7.22 ,0 ,0 ,0 ,0,0.00,,
209019902,"INSTRUMENTAL DE ENGRAPADO TORACO ABDOMINAL Y REGARGA, DESECHABLE (Se solicita carga de 60mm, 3.5mm de altura de grapa abierta y 1.5mm de altura de grapa cerrada. Y por cada dos (2) instrumentos con carga, debe entregar una recarga adicional) ",124.14 ,0 ,0 ,0 ,0,0.00,,
209019903,"INSTRUMENTO DE ENGRAPADO TORACO ABDOMINAL Y RECARGA DESECHABLE (Se solicita carga de 30mm, 3.5mm de altura de grapa abierta y 1.5mm de altura de grapa cerrada. Por cada dos (2) instrumentos con carga, debe entregar una recarga adicional) ",123.70 ,0 ,0 ,0 ,0,0.00,,
209019904,"INSTRUMENTO DE ENGRAPADO Y CORTE LINEAL PARA CIRUG÷A ABIERTA, DESECHABLE ",120.54 ,0 ,0 ,0 ,0,0.00,,
209019905,"INSTRUMENTAL DE ENGRAPADO TORACO ABDOMINAL Y RECARGA DESECHABLE (Se solicita instrumento recto, carga de longitud  de 90mm, altura de grapa abierta 3.5mm y altura de grapa cerrada 1.5mm. Por cada dos (2) instrumentos con carga, debe entregar una carga adicional) ",187.85 ,202 ,0 ,0 ,202,"37,945.70",,
209019906,"INSTRUMENTO DE ENGRAPADO MECANICO CIRCULAR,DESECHABLE.   SE SOLICITA INSTRUMENTO CURVO CON GRAPA DE 29MM CON GRAPAS DE ALTURA MINIMA DE 4.8 MM ABIERTA O INDICADOR DE ESCALA DE COMPRENSION DE 2 MM CERRADA",400.00 ,0 ,0 ,10 ,10,"4,000.00",,
209019907,"ENGRAPADORA  CIRCULAR CORTANTE CON YUNQUE ARTICULABLE PARA ANASTOMOSIS DIGESTIVA (Se solicita de 31mm, con grapas de altura m°nima de 4.8mm abierta)",425.45 ,0 ,0 ,0 ,0,0.00,,
209019910,"INSTRUMENTO DE ENGRAPADO MECµNICO PARA FIJAR  MALLAS EN  HERNIAS, DESECHABLE, CON 10 GRAPAS O MAS, DE TITANIUM  DE 4.8mm (Por cada instrumento con su carga, debe entregar una carga adicional) ",123.86 ,0 ,0 ,0 ,0,0.00,,
209020000,"INSTRUMENTO DE ENGRAPADO Y CORTE LINEAL RECTA ENDOSCOPICA CON O SIN
REGARGA,DESECHABLE     (SE SOLICITA Est†ndar: v†stago de 16cm o longitud total de 34cm, LONGITUD DE 60MM DE LARGO, ALTURA DE GRAPA ABIERTA 3.5 Y CERRADA 1.5MM)                                                                                                                                                                                                                                                                                                                                                                                         Instrumento de engrapado de corte lineal de 12mm de di†metro.
",200.00 ,0 ,40 ,0 ,40,"8,000.00",,
209020002,"INSTRUMENTO DE ENGRAPADO Y CORTE LINEAL RECTA ENDOSCOPICA CON O SIN REGARGA,DESECHABLE (SE SOLICITA Est†ndar: v†stago de 16cm o longitud total de 34cm, LONGITUD DE 60MM DE LARGO, ALTURA DE GRAPA ABIERTA 2.5 Y CERRADA 1.0MM)                                                                                                                                                                                                                                                                                                                                                                                        ",235.06 ,0 ,0 ,0 ,0,0.00,,
209020600,"INSTRUMENTO PARA LIGAR VASOS, DE TITANIUM, DESECHABLE (Se solicita tama§o chico)",57.65 ,0 ,288 ,0 ,288,"16,601.76",,
209020700,"ENGRAPADORA CURVA CORTANTE PARA TEJIDO GRUESO (CIRUGIA COLON RECTAL). Instrumento de engrapado quir£rgico curvo cortante , que permita un mejor acceso y visualizacion en la pelvis baja, dos dobles linea de grapas  y corte entre la segunda y tercera linea de grapas para cirug°a colon rectal.","1,220.18 ",0 ,0 ,0 ,0,0.00,,
209020902,RECARGA DE CLIP DE POL÷MERO NO ABSORBIBLE    (SE SOLICITA DE 7MM A 16MM. LA EMPRESA ENTREGARµ A LA UNIDAD LA PINZA PARA APLICAR EL MISMO),99.39 ,0 ,0 ,0 ,0,0.00,,
209021204,"BANDEJA PRE OPERATORIA PARA LAVADO DE PIEL. SE SOLICITA CON TENAZA Y DOS APLICADORES DE 3 PULGADAS CON PUNTA DE ALGOD‡N
",4.39 ,160 ,0 ,0 ,160,701.60,,
209021205,"BANDEJA DE ANESTESIA RAQUIDEA DESEHABLE CON MEDICAMENTO SE SOLICITA (CON INTRODUCTOR, AGUJA PUNTA DE LAPIZ/SPROTE 25G LARGO 136MM CON AGUJA 22G x 1 1/2"", Epinefrina 1:1000, ampolla de 1ml y efedrina sulfato 50mg/ml, ampolla de 1ml, y CON BUPIVACAINA PESADA).",34.00 ,0 ,0 ,0 ,0,0.00,,
209021504,"BOLSA MIXTA TERMOSELLABLE PARA ESTERILIZAR, 12"" X 16"" A 18""(304.8 MM X 406.4MM A 457.2 MM)",0.12 ,400 ,0 ,0 ,400,46.00,,
209021506,"BOLSA MIXTA TERMOSELLABLE PARA ESTERILIZACION 18"" X 24"" (450 X 600MM)",0.25 ,400 ,0 ,0 ,400,100.00,,
209021507,"ROLLO SIN FUELLE TERMOSELLABLE PARA ESTERILIZACI‡N, DE 3"" DE ANCHO X 660 PIES (7.5CM ‡ 75MM X 200 Mts)",12.30 ,0 ,0 ,0 ,0,0.00,,
209021508,"ROLLO SIN FUELLE TERMOSELLABLE PARA ESTERILIZACION 4"" DE ANCHO x 660' (10cm ‡ 100mm x 200mts)",14.54 ,0 ,0 ,0 ,0,0.00,,
209021510,"BOLSA MIXTA TERMOSELLABLE PARA ESTERILIZAR, 3"" X 10"" a 10 1/2"" (75 X 255 a 265MM) ",0.04 ,0 ,0 ,0 ,0,0.00,,
209021515,"BOLSA MIXTA TERMOSELLABLE PARA ESTERILIZAR 5 1/4"" A 5 1/2ÔÔ X 10 1/2"" A 11ÔÔ(130MM A 140MM X 260MM A 280MM). ",0.05 ,0 ,0 ,0 ,0,0.00,,
209021516,"BOLSA MIXTA TERMOSELLABLE PARA ESTERILIZAR, 8"" X 12"" (200 X 300MM)",0.07 ,0 ,0 ,0 ,0,0.00,,
209021600,"BOLSA HIDROSOLUBLE SE SOLICITA TAMA•O 28"" X 39""",0.78 ,0 ,0 ,0 ,0,0.00,,
209021701,BOLSA DE 1 PIEZA PARA COLOSTOM÷A/ILEOSTOM÷A PARA ADULTO RECORTABLE. ABIERTA.  SE SOLICITA CON FILTRO DE CARBON INCORPORADO Y DIAMETRO DE 10mm o 12mm hasta 55mm,2.63 ,"1,121,120 ","18,360 ","2,580 ","1,142,060","3,003,617.80",,
209021702,BOLSA DE 1 PIEZA PARA COLOSTOM÷A/ILEOSTOM÷A PARA ADULTO RECORTABLE ABIERTA.                                                                                                                                       (SE SOLICITA CON FILTRO DE CARBON INCORPORADO Y DIAMETRO DE 10mm o 12mm hasta 70mm),3.03 ,"945,960 ","10,140 ","2,280 ","958,380","2,903,891.40",,
209021807,"BOLSA DE 1 PIEZA PARA COLOSTOMIA / ILEOSTOMIA PEDIATRICA, ABIERTA (RECORTABLE).  SE SOLICITA DE 10MM A  35MM",3.71 ,0 ,"3,000 ",0 ,"3,000","11,115.00",,
209021908,SISTEMA DE DOS PIEZAS PARA UROSTOMﬁA DE ADULTO CON DI∑METRO EXTERNO. SE SOLICITA DE  DE 50MM,6.50 ,0 ,0 ,"2,600 ","2,600","16,900.00",,
209022100,"BOLSA COLECTORA DE ORINA PARA ADULTO.
",1.40 ,"2,362 ","17,540 ",0 ,"19,902","27,862.80",,
209022300,BOLSA COLECTORA DE ORINA DE 30 A 35 ONZA DE CAPACIDAD     (900CC A 1050CC) DE PIERNA . ,0.55 ,0 ,"1,036 ",0 ,"1,036",569.80,,
209022305,BOLSA BIODEGRADABLE COLECTORA DE VOMITO.,1.50 ,0 ,0 ,0 ,0,0.00,,
209024800,CUBIERTA DE ZAPATO (Se solicita sin cinta),0.05 ,0 ,0 ,0 ,0,0.00,,
209025901,BRAZALETE DE IDENTIFICACI‡N PEDIATRICA. SE SOLICITA: 8 PULGADAS DE LONGITUD,0.04 ,"1,904,000 ","38,300 ","6,000 ","1,948,300","71,112.95",,
209026003,BRAZALETE DE IDENTIFICACI‡N PARA ADULTOS.                (SE SOLICITA: 12 PULGADAS DE LONGITUD),0.04 ,"5,850,800 ","28,300 ","9,000 ","5,888,100","217,859.70",,
209026600,"CALCETA TUBULAR. SE SOLICITA TAMA•O :  3 "" X 25 YARDAS DE ALGODON",8.33 ,0 ,"1,010 ",0 ,"1,010","8,413.30",,
209026601,"MEDIA ANTIDESLIZANTE. SE SOLICITA MEDIANA  (LONGITUD: 35cms, ANCHO 8.5cm)",0.98 ,"125,400 ","2,360 ",800 ,"128,560","125,474.56",,
209026602,"MEDIA ANTIDESLIZANTE                (SE SOLICITA GRANDE (Longitud: 40cms, ancho 9cm).",0.99 ,"667,384 ","1,600 ",400 ,"669,384","665,367.70",,
209026700," CALCETA TUBULAR. SE SOLICITA TAMA•O: 4 "" X 25 YARDAS.  DE ALGODON",25.00 ,692 ,46 ,9 ,747,"18,675.00",,
209027200,"CANULA INTRAVENOSA SIN JERINGUILLA SE SOLICITA DE 18G  X  1  1/4""  A  1  1/2"" DE  POLIURETANO
",0.18 ,0 ,0 ,0 ,0,0.00,,
209027401,"CANULA INTRAVENOSA SIN JERINGUILLA SE SOLICITA DE POLIURETANO  CALIBRE # 22 G X  DE 1"" A  1  1/4"" .
",0.27 ,400 ,0 ,0 ,400,108.00,,
209027402,"CµNULA INTRAVENOSA SIN JERINGUILLA  (SE SOLICITA DE POLIURETANO, CALIBRE # 24, DE 3/4"")",0.18 ,0 ,0 ,0 ,0,0.00,,
209027618,"CATETER DE HISTEROSONOGRAFIA, 5Fr O 7FR. SE SOLICITA TAMA•O  5FR Y BALON DE 3CC",18.12 ,880 ,140 ,0 ,"1,020","18,482.40",,
209028310,LIMPIEZA DE SUBCLAVIA CON CLOREXIDINA Y ALCOHOL .    (SE SOLICITA CON UN (1) APLICADOR),3.89 ,0 ,0 ,0 ,0,0.00,,
209028600," SONDA FOLEY DE LATEX RECUBIERTA CON SILICON, 2 VIAS CON BALON DE 3CC/ML   SE SOLICITA CALIBRE 10FR",0.64 ,0 ,0 ,0 ,0,0.00,,
209028700,"SONDA FOLEY DE LATEX RECUBIERTA CON SILICON , 2 V÷AS CON BAL‡N DE 5 CC/ML. SE  SOLICITA  CALIBRE 12FR",0.53 ,0 ,0 ,0 ,0,0.00,,
209028701,"SONDA FOLEY DE LATEX RECUBIERTA CON SILICON , 2 V÷AS CON BAL‡N DE 5 CC/ML.   SE SOLICITA  CALIBRE 18FR",0.51 ,0 ,0 ,0 ,0,0.00,,
209028702,"SONDA FOLEY DE LATEX RECUBIERTA CON SILICON , 2 V÷AS CON BAL‡N DE 5 CC/ML.  (SE SOLICITA CALIBRE 20FR)",0.49 ,0 ,"1,440 ",0 ,"1,440",704.16,,
209028703,"SONDA FOLEY DE LATEX RECUBIERTA CON SILICON , 2 V÷AS CON BAL‡N DE 5 CC/ML.     SE SOLICITA CALIBRE  22FR ",0.49 ,0 ,"1,400 ",190 ,"1,590",779.10,,
209028800,"SONDA FOLEY DE LATEX RECUBIERTA CON SILICON , 2 V÷AS CON BAL‡N DE 5 CC/ML.     SE SOLICITA CALIBRE 14FR",0.44 ,0 ,0 ,0 ,0,0.00,,
209028801,"SONDA FOLEY DE LATEX RECUBIERTA CON SILICON , 2 V÷AS CON BAL‡N DE 5 CC/ML.  SE  SOLICITA  CALIBRE 16FR",0.56 ,0 ,0 ,0 ,0,0.00,,
209029810,"SONDA FOLEY DE LATEX RECUBIERTA CON SILIC„N, 3 VﬁAS CON BAL„N DE 30 CC.  SE SOLICITA CALIBRE 24FR",0.89 ,0 ,160 ,"1,450 ","1,610","1,432.90",,
209029912,"TROCAR PARA CIRUGIA LAPAROSCOPICA DE 2MM A 15MM DE DIAMETRO, PUNTA CORTANTE DESECHABLESE.  (SE  SOLICITA TROCAR COMPLETO DE 5MM DE DIAMETRO Y DOS CAMISAS ADICIONALES)",78.96 ,0 ,0 ,0 ,0,0.00,,
209029914,"TROCAR PARA CIRUGIA LAPAROSCOPICA, DE 2 A 15 MM DE DIAMETRO, PUNTA CORTANTE, DESECHABLE.,                                                                                                          (SE SOLICITA TROCAR COMPLETO DE 12MM DE DIAMETRO Y DOS CAMISAS ADICIONALES) ",71.08 ,0 ,0 ,0 ,0,0.00,,
209030001,JUEGO PARA ACCESO VENOSO PERIFêRICO (CANALIZACI‡N),0.81 ,0 ,0 ,0 ,0,0.00,,
209030702,CERA DE HUESO. SE SOLICITA EN BAST‡N,2.06 ,432 ,0 ,0 ,432,887.76,,
209030904,CINTA DE HILADILLO ESTERIL DE ALGOD‡N TRENZADO,2.91 ,0 ,0 ,0 ,0,0.00,,
209031000,"CINTA INDICADORA PARA ESTERILIZACION A VAPOR.  SE SOLICITA TAMA•O  DE  1/2"" X 60 O MAS YARDAS.",5.28 ,0 ,0 ,0 ,0,0.00,,
209031001,"CINTA INDICADORA PARA ESTERILIZACION A VAPOR. SE SOLICITATAMA•O 3/4"" X 60 ‡ MAS YARDAS.",4.63 ,0 ,0 ,0 ,0,0.00,,
209031002,"CINTA INDICADORA PARA ESTERILIZACION A VAPOR                SE SOLICITA TAMA•O  1"" X 60 O MAS YARDAS.",2.80 ,0 ,0 ,0 ,0,0.00,,
209031100,COBERTOR PARA SILLETA (PALETA),0.40 ,"28,000 ",0 ,0 ,"28,000","11,200.00",,
209032201,PROTECTOR PLµSTICO PARA EL OJO,8.68 ,0 ,"4,608 ","3,072 ","7,680","66,624.00",,
209032301,"LAPIZ DE CAUTERIO, DESECHABLE CON CONTROL MANUAL DUAL.",4.36 ,0 ,0 ,0 ,0,0.00,,
209032601,GEL PARA ELECTRODOS. SE SOLICITA TUBO DE 140 GRAMOS,76.90 ,0 ,0 ,0 ,0,0.00,,
209032700,"PROTECTOR DE COLCH‡N, DESECHABLE, ABSORBENTE, DE ALGODON O DE POLIETILENO POR UN LADO, (SE SOLICITA TAMA•O 58.4 cm x 91.4 cm  (23""x36"")  ALGOD‡N.",2.88 ,0 ,0 ,0 ,0,0.00,,
209033101,VENDA AUTOADHERIBLE DE PLASTICO RECTANGULAR O LARGAS.        (CURITAS RECTANGULAR),0.01 ,"2,162,800 ","20,900 ","52,800 ","2,236,500","21,202.02",,
209033200,VENDA ADHESIVA DE PLµSTICO REDONDA,0.01 ,0 ,0 ,0 ,0,0.00,,
209033201,GRAPA PARA LIGAR CORDON UMBILICAL,0.35 ,0 ,0 ,0 ,0,0.00,,
209033306,"BATA DESECHABLE, PARA USO GENERAL NO ESTERIL .AAMI     NIVEL 3.  SE SOLICITA TAMA•O MEDIANO",1.12 ,0 ,0 ,0 ,0,0.00,,
209033311,BATA QUIRURGICA ESTERIL .AAMI NIVEL 3. SE SOLICITA TAMA•O MEDIANO,1.12 ,0 ,0 ,0 ,0,0.00,,
209033312,BATA QUIRURGICA ESTERIL .AAMI NIVEL 3. SE SOLICITA TAMA•O GRANDE,22.84 ,0 ,0 ,0 ,0,0.00,,
209033314,BATA QUIRURGICA ESTERIL .AAMI NIVEL 4. SE SOLICITA TAMA•O MEDIANO,2.60 ,0 ,0 ,0 ,0,0.00,,
209033315,BATA QUIRURGICA ESTERIL .AAMI NIVEL 4.    (SE SOLICITA TAMA•O GRANDE).,2.28 ,0 ,0 ,0 ,0,0.00,,
209033316,BATA QUIRURGICA ESTERIL .AAMI NIVEL 4.  SE SOLICITA TAMA•O EXTRA GRANDE,0.19 ,0 ,0 ,0 ,0,0.00,,
209033400,"DEPRESOR DE LENGUA, ESTêRIL  ",0.05 ,0 ,0 ,0 ,0,0.00,,
209033600,DISECTOR CURVO    (MARYLAND)      PARA CIRUGIA LAPAROSC‡PICA.,59.33 ,0 ,0 ,12 ,12,711.96,,
209034201,"CONECTOR LIBRE DE AGUJA (ESPIGA UNIVERSAL) PARA SOLUCIONES PARENTERALES, UNIDIRECCIONAL O BIDIRECCIONAL.                                                                                     SE SOLICITA: CON VµLVULA ANTIRREFLUJO UNIDIRECCIONAL",2.21 ,"99,400 ","1,900 ",500 ,"101,800","224,978.00",,
209034510,ELECTRODO DE MICROPORE PARA MONITOREO DE ADULTO                                                                                                    ,0.14 ,0 ,0 ,0 ,0,0.00,,
209034512,ELECTRODO PARA  EKG MODELO PESTA•A.                          SE SOLICITA: TAMA•O NI•O (PEDIATRICO),0.06 ,0 ,0 ,0 ,0,0.00,,
209034700,"APOSITO ABDOMINAL 8"" X 10"" y 10"" x 12"" DE LONGITUD.  SE SOLICITA TAMA•O: 8"" X 10"" DE LONGITUD. ",0.48 ,0 ,0 ,0 ,0,0.00,,
209034901,"ESPONJA DESECHABLE CON JABON NEUTRO. SE SOLICITA: TAMA•O 20CM X 10CM X 1.0CM    
",0.30 ,0 ,0 ,0 ,0,0.00,,
209035001,"TOALLA SANITARIA MATERNAL; TOALLA SANITARIA TIPO PERINEAL,     (SE SOLICITA EXTRA GRANDE DE 11 A 12 PULGADAS. NO ESTERIL)",0.10 ,0 ,0 ,0 ,0,0.00,,
209035201,"CINTA ADHESIVA DE TELA DE ALGODON (ESPARADRAPO).  SE SOLICITA TAMA•O DE 2"" X 10 Yds",2.89 ,"22,644 ",84 ,"3,570 ","26,298","75,974.92",,
209035202,"CINTA ADHESIVA DE TELA DE ALGODON (ESPARADRAPO)  (SE SOLICITA TAMA•O DE 3"" X 10 Yds).",4.78 ,0 ,192 ,768 ,960,"4,584.00",,
209035203,"CINTA  ADHESIVA DE PLASTICO TRANSPARENTE. SE SOLICITA DE 1"" X 10 YARDAS                                                                                                                                                                                                                                 CINTA ADHESIVA DE PLASTICO TRANSPARENTE, HIPOALERGENICO, RESISTENTE A LA HUMEDAD (IMPERMEABLE),
TAMA•O DE 1/2ÔÔ A 3ÔÔPOR 10 YARDA O MAS DE LONGITUD.
LA INSTITUCION SOLICITARA EL TAMA•O QUE REQUIERA.",0.42 ,0 ,0 ,0 ,0,0.00,,
209035300,CINTA ADHESIVA DE TELA DE ALGODON (ESPARADRAPO) DE CORTE SURTIDO,16.38 ,"1,344 ",684 ,96 ,"2,124","34,791.12",,
209035400,"CINTA ADHESIVA DE PAPEL MICROPOROSO. (SE SOLICITA DE 2"" DE ANCHO X 10 YARDAS DE LONGITUD).                                                                                                                                                                                                                                  
",1.95 ,0 ,0 ,0 ,0,0.00,,
209035401,"CINTA ADHESIVA DE PAPEL MICROPOROSO. (SE SOLICITA DE 3"" X 10 Yads)                                                                                                                                                                                                                                                                      ",1.95 ,0 ,0 ,0 ,0,0.00,,
209036301,"CONECTOR O EQUIPO PARA INFUSI‡N DE SOLUCI‡N PARENTERAL, CON DOS FILTRO .",0.17 ,"15,717,296 ","105,275 ",0 ,"15,822,571","2,689,837.07",,
209036501,"GASA SIMPLE  TAMA•O 3"" X 3"",12 DOBLECES NO ESTERIL.",0.06 ,0 ,0 ,0 ,0,0.00,,
209036503,"GASA SIMPLE 4"" X 4"" CON 16 DOBLECES, NO ESTERIL.",0.05 ,0 ,0 ,0 ,0,0.00,,
209036505,"GASA SIMPLE 8"" X 4"" CON 12 DOBLECES, NO ESTêRIL.   ",0.07 ,0 ,0 ,0 ,0,0.00,,
209037800,"GUANTES DE EXPLORACI‡N DE LµTEX, NO ESTêRIL (SE SOLICITA TAMA•O CHICO).",0.04 ,"51,000 ","111,000 ","105,000 ","267,000","10,947.00",,
209037801,"GUANTES DE EXPLORACI‡N DE LµTEX, NO ESTêRIL (SE SOLICITA TAMA•O MEDIANO). ",0.09 ,0 ,0 ,0 ,0,0.00,,
209037802,"GUANTES DE EXPLORACI‡N DE LµTEX, NO ESTêRIL (Se solicita tama§o grande) ",0.09 ,0 ,0 ,0 ,0,0.00,,
209037900,"GUANTE QUIRURGICO DE LATEX ESTERIL.  SE SOLICITA TAMA•O 6  1/2""  ",0.24 ,0 ,0 ,0 ,0,0.00,,
209037901,"GUANTES QUIRURGICO DE LATEX ESTERI (SE SOLICITA TAMA•O 7 "").",0.27 ,0 ,0 ,0 ,0,0.00,,
209037902,"GUANTES QUIRURGICO DE LATEX ESTERIL   (SE SOLICITA TAMA•O 7 1/2"")",0.16 ,0 ,0 ,0 ,0,0.00,,
209037903,"GUANTES QUIRURGICO DE LATEX ESTERIL  (SE SOLICITA TAMA•O 8"").",1.03 ,0 ,0 ,0 ,0,0.00,,
209038100,"ALGODON COMPRIMIDO 100% (SE SOLICITA  3"" x 4 YARDAS)
",0.73 ,"7,348 ",0 ,0 ,"7,348","5,364.04",,
209038101,"VENDAJE DE 100% DE ALGOD‡N COMPRIMIDO, NO ESTêRIL (Se solicita tama§o 4""x 4 yardas) ",1.40 ,0 ,0 ,0 ,0,0.00,,
209038102,"ALGODON COMPRIMIDO 100% - 6"" x 4 YARDAS  (SE SOLICITA TAMA•O 6 x 4"")",1.06 ,0 ,0 ,0 ,0,0.00,,
209038200,"HOJA, BISTUR÷, ACERO INOXIDABLE Nß10",0.10 ,0 ,0 ,0 ,0,0.00,,
